"Event Type","Start Time","Server ID","Customer ID","Queue Size","Busy Servers"
"Departure",1933.91765925,1,200,7,0
"Service",1933.91765925,1,201,6,1
"Departure",1937.53860125,1,201,6,0
"Service",1937.53860125,1,202,5,1
"Arrival",1945.96620090,-1,208,5,1
"Arrival",1946.70044924,-1,209,6,1
"Departure",1949.49281274,1,202,7,0
"Service",1949.49281274,1,203,6,1
"Departure",1950.81789767,1,203,6,0
"Service",1950.81789767,1,204,5,1
"Arrival",1952.11258026,-1,210,5,1
"Arrival",1953.95617834,-1,211,6,1
"Departure",1956.59835849,1,204,7,0
"Service",1956.59835849,1,205,6,1
"Departure",1970.97643427,1,205,6,0
"Service",1970.97643427,1,206,5,1
"Departure",1976.35527426,1,206,5,0
"Service",1976.35527426,1,207,4,1
"Arrival",1981.17128424,-1,212,4,1
"Arrival",1981.27194581,-1,213,5,1
"Departure",1982.89955852,1,207,6,0
"Service",1982.89955852,1,208,5,1
"Departure",1988.80955254,1,208,5,0
"Service",1988.80955254,1,209,4,1
"Arrival",1992.12263640,-1,214,4,1
"Departure",2002.35761134,1,209,5,0
"Service",2002.35761134,1,210,4,1
"Departure",2002.88492853,1,210,4,0
"Service",2002.88492853,1,211,3,1
"Arrival",2007.93150246,-1,215,3,1
"Arrival",2012.05158295,-1,216,4,1
"Arrival",2021.23959439,-1,217,5,1
"Arrival",2023.68824936,-1,218,6,1
"Arrival",2028.39829105,-1,219,7,1
"Arrival",2031.42936749,-1,220,8,1
"Arrival",2031.53707392,-1,221,9,1
"Departure",2033.04463681,1,211,10,0
"Service",2033.04463681,1,212,9,1
"Arrival",2034.49382801,-1,222,9,1
"Arrival",2036.59901049,-1,223,10,1
"Departure",2042.69424786,1,212,11,0
"Service",2042.69424786,1,213,10,1
"Departure",2046.87653273,1,213,10,0
"Service",2046.87653273,1,214,9,1
"Arrival",2052.58562946,-1,224,9,1
"Arrival",2054.46435207,-1,225,10,1
"Departure",2065.24642835,1,214,11,0
"Service",2065.24642835,1,215,10,1
"Departure",2071.13592567,1,215,10,0
"Service",2071.13592567,1,216,9,1
"Departure",2074.08843923,1,216,9,0
"Service",2074.08843923,1,217,8,1
"Departure",2076.50761360,1,217,8,0
"Service",2076.50761360,1,218,7,1
"Departure",2082.86040878,1,218,7,0
"Service",2082.86040878,1,219,6,1
"Arrival",2084.88414243,-1,226,6,1
"Departure",2086.38740248,1,219,7,0
"Service",2086.38740248,1,220,6,1
"Arrival",2087.05903264,-1,227,6,1
"Departure",2094.36165484,1,220,7,0
"Service",2094.36165484,1,221,6,1
"Arrival",2095.27450919,-1,228,6,1
"Departure",2104.43823393,1,221,7,0
"Service",2104.43823393,1,222,6,1
"Arrival",2107.66575416,-1,229,6,1
"Departure",2108.38422408,1,222,7,0
"Service",2108.38422408,1,223,6,1
"Departure",2115.38442575,1,223,6,0
"Service",2115.38442575,1,224,5,1
"Arrival",2119.42183123,-1,230,5,1
"Departure",2122.78941325,1,224,6,0
"Service",2122.78941325,1,225,5,1
"Departure",2127.27833885,1,225,5,0
"Service",2127.27833885,1,226,4,1
"Arrival",2144.29266682,-1,231,4,1
"Arrival",2146.23977200,-1,232,5,1
"Departure",2146.97828246,1,226,6,0
"Service",2146.97828246,1,227,5,1
"Arrival",2152.25839218,-1,233,5,1
"Departure",2153.43692829,1,227,6,0
"Service",2153.43692829,1,228,5,1
"Departure",2157.45087479,1,228,5,0
"Service",2157.45087479,1,229,4,1
"Departure",2163.08552404,1,229,4,0
"Service",2163.08552404,1,230,3,1
"Departure",2166.28817584,1,230,3,0
